Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
325,UCLA,2,2,0,1,8.33,-16.17,2,0,0,0,143,94,80,51,108,0.472,7,23,0.304,34,49,0.694,16,62,25,15,6,14,32,2023-2024
326,UNC Asheville,2,0,2,0,-4.36,16.64,0,1,0,1,140,182,80,44,104,0.423,16,43,0.372,36,52,0.692,16,53,27,5,5,30,42,2023-2024
327,UNC Greensboro,1,1,0,1,-27.84,-43.84,1,0,0,0,94,78,40,34,72,0.472,15,29,0.517,11,13,0.846,19,49,21,5,1,14,20,2023-2024
328,UNC Wilmington,2,2,0,1,15.44,-1.56,1,0,1,0,188,132,80,64,124,0.516,17,42,0.405,43,58,0.741,22,83,27,18,8,30,41,2023-2024
329,UT Arlington,2,2,0,1,-15.33,-19.33,2,0,0,0,170,135,80,58,139,0.417,26,69,0.377,28,38,0.737,37,103,40,12,3,27,32,2023-2024
330,Utah,2,2,0,1,32.99,0.99,2,0,0,0,183,119,80,64,124,0.516,18,45,0.4,37,53,0.698,24,100,40,13,9,26,26,2023-2024
331,Utah State,2,1,1,0.5,4.69,10.69,1,0,0,1,167,120,85,63,133,0.474,17,48,0.354,24,35,0.686,27,94,44,18,9,21,39,2023-2024
332,Utah Tech,2,1,1,0.5,-1.42,1.58,0,0,1,1,150,156,85,55,132,0.417,14,39,0.359,26,39,0.667,26,71,24,19,6,31,43,2023-2024
333,Utah Valley,2,2,0,1,1.03,-4.97,1,0,1,0,160,146,85,57,120,0.475,10,44,0.227,36,58,0.621,20,86,37,11,6,30,39,2023-2024
334,UTEP,3,3,0,1,15.02,2.02,3,0,0,0,332,219,120,124,212,0.585,22,57,0.386,62,93,0.667,34,126,77,48,13,32,63,2023-2024
335,UTSA,2,1,1,0.5,-12,-4,1,0,0,1,154,170,85,52,135,0.385,15,45,0.333,35,51,0.686,23,79,27,13,8,17,37,2023-2024
336,Valparaiso,2,1,1,0.5,0,10,1,1,0,0,156,127,80,53,132,0.402,16,52,0.308,34,49,0.694,31,87,25,18,12,28,31,2023-2024
337,Vanderbilt,2,1,1,0.5,7.02,6.52,1,1,0,0,136,135,80,41,106,0.387,16,55,0.291,38,51,0.745,28,80,19,14,5,30,31,2023-2024
338,Vermont,2,2,0,1,6.25,-5.75,2,0,0,0,159,96,80,61,112,0.545,18,51,0.353,19,27,0.704,24,82,38,10,4,20,24,2023-2024
339,Villanova,3,2,1,0.667,11.32,-5.01,2,0,0,1,245,196,120,82,181,0.453,34,98,0.347,47,54,0.87,35,120,42,18,7,22,54,2023-2024
340,Virginia,2,2,0,1,34.12,17.62,1,0,0,0,153,120,80,49,105,0.467,17,40,0.425,38,63,0.603,19,70,30,24,7,14,33,2023-2024
341,Virginia Commonwealth,2,1,1,0.5,-26.64,-26.14,1,1,0,0,140,141,80,47,104,0.452,16,54,0.296,30,39,0.769,21,76,30,18,15,35,33,2023-2024
342,VMI,3,1,2,0.333,13.84,27.84,1,0,0,2,226,220,120,89,192,0.464,22,62,0.355,26,46,0.565,33,125,39,11,8,41,45,2023-2024
343,Virginia Tech,2,1,1,0.5,22.98,1.48,1,0,0,0,177,134,80,58,114,0.509,20,53,0.377,41,51,0.804,20,66,42,17,5,16,28,2023-2024
344,Wagner,2,1,1,0.5,-6.41,-2.41,1,0,0,1,147,116,85,54,134,0.403,12,45,0.267,27,37,0.73,36,90,20,14,7,22,34,2023-2024
345,Wake Forest,2,1,1,0.5,13.8,3.8,1,0,0,1,178,158,80,62,129,0.481,19,56,0.339,35,39,0.897,22,78,24,8,10,24,32,2023-2024
346,Washington,3,2,1,0.667,5.17,-6.5,2,1,0,0,242,207,120,91,175,0.52,20,61,0.328,40,61,0.656,26,108,46,20,19,41,56,2023-2024
347,Washington State,2,2,0,1,21.16,-0.34,2,0,0,0,167,124,80,61,113,0.54,11,33,0.333,34,57,0.596,27,89,29,14,17,25,45,2023-2024
348,Weber State,2,2,0,1,29.48,25.48,1,0,1,0,157,119,80,53,116,0.457,15,49,0.306,36,42,0.857,11,65,19,11,3,16,32,2023-2024
349,West Virginia,2,1,1,0.5,1.33,1.33,1,1,0,0,132,132,80,43,130,0.331,14,53,0.264,32,43,0.744,32,80,23,6,8,17,28,2023-2024
350,Western Carolina,3,3,0,1,12.36,6.36,1,0,2,0,243,190,120,86,186,0.462,20,55,0.364,51,69,0.739,34,129,33,13,14,25,49,2023-2024
351,Western Illinois,3,1,2,0.333,-19.6,3.9,1,0,0,2,215,227,125,74,198,0.374,22,78,0.282,45,83,0.542,52,154,34,13,28,48,54,2023-2024
352,Western Kentucky,2,1,1,0.5,4.67,14.67,1,0,0,1,151,135,81,56,138,0.406,6,41,0.146,33,46,0.717,31,85,19,20,8,23,38,2023-2024
353,Western Michigan,2,0,2,0,-13.84,-8.34,0,2,0,0,146,157,85,50,118,0.424,19,47,0.404,27,45,0.6,29,76,19,12,3,31,45,2023-2024
354,Wichita State,3,3,0,1,0.67,-12.83,3,0,0,0,242,185,120,92,190,0.484,17,49,0.347,41,61,0.672,37,152,36,14,17,39,38,2023-2024
355,William & Mary,3,2,1,0.667,20.27,13.77,2,0,0,1,248,180,120,80,183,0.437,35,97,0.361,53,69,0.768,32,123,51,22,4,35,52,2023-2024
356,Winthrop,3,1,2,0.333,-12,0,1,1,0,1,226,196,120,76,158,0.481,15,50,0.3,59,82,0.72,29,101,25,22,8,39,44,2023-2024
357,Wisconsin,2,1,1,0.5,37.33,27.83,1,1,0,0,175,156,80,64,121,0.529,12,36,0.333,35,53,0.66,17,64,27,10,5,23,41,2023-2024
358,Wofford,2,2,0,1,0,-1,2,0,0,0,184,166,80,63,121,0.521,20,52,0.385,38,58,0.655,19,69,36,10,8,22,42,2023-2024
359,Wright State,1,0,1,0,-10,18,0,0,0,1,77,105,40,29,58,0.5,6,15,0.4,13,18,0.722,6,27,8,5,4,15,12,2023-2024
360,Wyoming,2,2,0,1,4.09,-9.91,2,0,0,0,184,122,80,61,106,0.575,20,41,0.488,42,65,0.646,19,76,37,10,13,27,29,2023-2024
361,Xavier,3,2,1,0.667,11.81,3.48,2,0,0,1,227,202,120,87,186,0.468,18,65,0.277,35,49,0.714,29,107,53,26,7,37,48,2023-2024
362,Yale,3,2,1,0.667,0,6,1,0,1,1,256,219,120,91,177,0.514,21,49,0.429,53,65,0.815,24,110,45,21,7,31,43,2023-2024
363,Youngstown State,3,1,2,0.333,-8.88,11.12,1,0,0,2,223,235,120,85,195,0.436,23,79,0.291,30,42,0.714,34,111,38,16,13,41,45,2023-2024
